Timestamp,Device_ID,Trust_Level,Device_Status,Access_Status
2026-03-26 17:23:14.925934,Gateway_02,86,Active,1
2026-03-26 17:38:14.925934,Sensor_A1,88,Active,1
2026-03-26 17:53:14.925934,Sensor_A1,4,Compromised,0
2026-03-26 18:08:14.925934,Gateway_02,94,Active,1
2026-03-26 18:23:14.925934,Actuator_Z,100,Active,1
2026-03-26 18:38:14.925934,Sensor_A1,80,Active,1
2026-03-26 18:53:14.925934,Gateway_02,89,Active,1
2026-03-26 19:08:14.925934,Sensor_A1,41,Warning,0
2026-03-26 19:23:14.925934,Camera_X,95,Active,1
2026-03-26 19:38:14.925934,Sensor_A1,95,Active,1
2026-03-26 19:53:14.925934,Gateway_02,98,Active,1
2026-03-26 20:08:14.925934,Sensor_A1,87,Active,1
2026-03-26 20:23:14.925934,Actuator_Z,90,Active,1
2026-03-26 20:38:14.925934,Camera_X,90,Active,1
2026-03-26 20:53:14.925934,Sensor_A1,10,Maintenance,0
2026-03-26 21:08:14.925934,Camera_X,9,Maintenance,0
2026-03-26 21:23:14.925934,Sensor_A1,86,Active,1
2026-03-26 21:38:14.925934,Camera_X,64,Warning,1
2026-03-26 21:53:14.925934,Actuator_Z,29,Maintenance,0
2026-03-26 22:08:14.925934,Sensor_A1,91,Active,1
2026-03-26 22:23:14.925934,Sensor_A1,52,Warning,1
2026-03-26 22:38:14.925934,Gateway_02,24,Compromised,0
2026-03-26 22:53:14.925934,Actuator_Z,86,Active,1
2026-03-26 23:08:14.925934,Gateway_02,84,Active,1
2026-03-26 23:23:14.925934,Camera_X,85,Active,1
2026-03-26 23:38:14.925934,Sensor_A1,93,Active,1
2026-03-26 23:53:14.925934,Gateway_02,83,Active,1
2026-03-27 00:08:14.925934,Actuator_Z,23,Maintenance,0
2026-03-27 00:23:14.925934,Camera_X,90,Active,1
2026-03-27 00:38:14.925934,Gateway_02,91,Active,1
2026-03-27 00:53:14.925934,Actuator_Z,35,Maintenance,0
2026-03-27 01:08:14.925934,Gateway_02,19,Maintenance,0
2026-03-27 01:23:14.925934,Sensor_A1,88,Active,1
2026-03-27 01:38:14.925934,Camera_X,80,Active,1
2026-03-27 01:53:14.925934,Actuator_Z,30,Maintenance,0
2026-03-27 02:08:14.925934,Actuator_Z,100,Active,1
2026-03-27 02:23:14.925934,Actuator_Z,99,Active,1
2026-03-27 02:38:14.925934,Sensor_A1,7,Maintenance,0
2026-03-27 02:53:14.925934,Camera_X,98,Active,1
2026-03-27 03:08:14.925934,Gateway_02,85,Active,1
2026-03-27 03:23:14.925934,Actuator_Z,63,Warning,1
2026-03-27 03:38:14.925934,Gateway_02,96,Active,1
2026-03-27 03:53:14.925934,Actuator_Z,98,Active,1
2026-03-27 04:08:14.925934,Actuator_Z,85,Active,1
2026-03-27 04:23:14.925934,Gateway_02,15,Compromised,0
2026-03-27 04:38:14.925934,Actuator_Z,91,Active,1
2026-03-27 04:53:14.925934,Sensor_A1,12,Compromised,0
2026-03-27 05:08:14.925934,Camera_X,86,Active,1
2026-03-27 05:23:14.925934,Camera_X,32,Maintenance,0
2026-03-27 05:38:14.925934,Gateway_02,48,Warning,0
2026-03-27 05:53:14.925934,Camera_X,79,Warning,1
2026-03-27 06:08:14.925934,Actuator_Z,91,Active,1
2026-03-27 06:23:14.925934,Camera_X,93,Active,1
2026-03-27 06:38:14.925934,Gateway_02,85,Active,1
2026-03-27 06:53:14.925934,Sensor_A1,86,Active,1
2026-03-27 07:08:14.925934,Sensor_A1,84,Active,1
2026-03-27 07:23:14.925934,Gateway_02,97,Active,1
2026-03-27 07:38:14.925934,Gateway_02,91,Active,1
2026-03-27 07:53:14.925934,Camera_X,80,Active,1
2026-03-27 08:08:14.925934,Camera_X,82,Active,1
2026-03-27 08:23:14.925934,Camera_X,56,Warning,1
2026-03-27 08:38:14.925934,Camera_X,84,Active,1
2026-03-27 08:53:14.925934,Camera_X,77,Warning,1
2026-03-27 09:08:14.925934,Sensor_A1,74,Warning,1
2026-03-27 09:23:14.925934,Gateway_02,18,Compromised,0
2026-03-27 09:38:14.925934,Camera_X,35,Compromised,0
2026-03-27 09:53:14.925934,Gateway_02,61,Warning,1
2026-03-27 10:08:14.925934,Camera_X,90,Active,1
2026-03-27 10:23:14.925934,Sensor_A1,90,Active,1
2026-03-27 10:38:14.925934,Actuator_Z,97,Active,1
2026-03-27 10:53:14.925934,Sensor_A1,96,Active,1
2026-03-27 11:08:14.925934,Camera_X,97,Active,1
2026-03-27 11:23:14.925934,Camera_X,93,Active,1
2026-03-27 11:38:14.925934,Camera_X,97,Active,1
2026-03-27 11:53:14.925934,Gateway_02,3,Maintenance,0
2026-03-27 12:08:14.925934,Sensor_A1,91,Active,1
2026-03-27 12:23:14.925934,Gateway_02,90,Active,1
2026-03-27 12:38:14.925934,Camera_X,83,Active,1
2026-03-27 12:53:14.925934,Camera_X,81,Active,1
2026-03-27 13:08:14.925934,Camera_X,100,Active,1
2026-03-27 13:23:14.925934,Actuator_Z,100,Active,1
2026-03-27 13:38:14.925934,Gateway_02,94,Active,1
2026-03-27 13:53:14.925934,Camera_X,83,Active,1
2026-03-27 14:08:14.925934,Gateway_02,69,Warning,1
2026-03-27 14:23:14.925934,Gateway_02,68,Warning,1
2026-03-27 14:38:14.925934,Sensor_A1,88,Active,1
2026-03-27 14:53:14.925934,Actuator_Z,44,Warning,0
2026-03-27 15:08:14.925934,Gateway_02,91,Active,1
2026-03-27 15:23:14.925934,Sensor_A1,82,Active,1
2026-03-27 15:38:14.925934,Actuator_Z,90,Active,1
2026-03-27 15:53:14.925934,Actuator_Z,26,Compromised,0
2026-03-27 16:08:14.925934,Camera_X,98,Active,1
2026-03-27 16:23:14.925934,Camera_X,92,Active,1
2026-03-27 16:38:14.925934,Actuator_Z,92,Active,1
2026-03-27 16:53:14.925934,Camera_X,99,Active,1
2026-03-27 17:08:14.925934,Sensor_A1,29,Compromised,0
2026-03-27 17:23:14.925934,Actuator_Z,96,Active,1
2026-03-27 17:38:14.925934,Sensor_A1,83,Active,1
2026-03-27 17:53:14.925934,Gateway_02,92,Active,1
2026-03-27 18:08:14.925934,Sensor_A1,80,Active,1
